account_code,account_name,account_category,debit_amount,credit_amount,net_amount
2110,외상매입금,부채,0,667579000,-667579000
2120,미지급금,부채,0,1006720000,-1006720000
2140,카드미지급금,부채,0,16401000,-16401000
2180,부가세예수금,부채,0,117348000,-117348000
5130,소모품비,비용,27810000,0,27810000
5140,운반비,비용,56500000,0,56500000
5150,전력비,비용,166950000,0,166950000
5160,지급수수료,비용,26790000,0,26790000
4110,제품매출,수익,0,1173480000,-1173480000
1130,외상매출금,자산,1290828000,0,1290828000
1180,부가세대급금,자산,153700000,0,153700000
1210,원재료,자산,593990000,0,593990000
1510,기계장치,자산,664960000,0,664960000
