account_code,account_name,account_category,normal_balance,vat_type,is_active
1100,현금,자산,차변,해당없음,Y
1110,보통예금,자산,차변,해당없음,Y
1130,외상매출금,자산,차변,해당없음,Y
1180,부가세대급금,자산,차변,매입,Y
1210,원재료,자산,차변,해당없음,Y
1310,제품,자산,차변,해당없음,Y
1510,기계장치,자산,차변,해당없음,Y
1590,감가상각누계액,차감자산,대변,해당없음,Y
2110,외상매입금,부채,대변,해당없음,Y
2120,미지급금,부채,대변,해당없음,Y
2130,미지급비용,부채,대변,해당없음,Y
2140,카드미지급금,부채,대변,해당없음,Y
2180,부가세예수금,부채,대변,매출,Y
2190,예수금,부채,대변,해당없음,Y
4110,제품매출,수익,대변,매출,Y
5110,급여,비용,차변,해당없음,Y
5120,복리후생비,비용,차변,매입,Y
5130,소모품비,비용,차변,매입,Y
5140,운반비,비용,차변,매입,Y
5150,전력비,비용,차변,매입,Y
5160,지급수수료,비용,차변,매입,Y
5170,감가상각비,비용,차변,해당없음,Y
