partner_code,partner_name,partner_type,default_account_code,settlement_account_code,payment_method,vat_applicable,is_active
V001,해솔고무소재,원재료공급업체,1210,2110,외상매입,Y,Y
V002,다온화학소재,원재료공급업체,1210,2110,외상매입,Y,Y
V003,한빛산업용품,소모품공급업체,5130,2140,법인카드,Y,Y
V004,새길포장산업,포장재공급업체,5130,2110,외상매입,Y,Y
V005,바른산업물류,운송업체,5140,2120,계좌이체,Y,Y
V006,한결공장전력,공공요금업체,5150,2120,계좌이체,Y,Y
V007,세움생산기계,설비공급업체,1510,2120,외상매입,Y,Y
V008,정도경영서비스,서비스업체,5160,2120,계좌이체,Y,Y
C001,미래모빌리티,제품구매고객,4110,1130,외상매출,Y,Y
C002,대성자동차부품,제품구매고객,4110,1130,외상매출,Y,Y
C003,태양모터시스템,제품구매고객,4110,1130,외상매출,Y,Y
C004,한울오토테크,제품구매고객,4110,1130,외상매출,Y,Y
