voucher_id,대변,차변,difference,is_balanced
JV2026081001,770000,770000,0,True
JV2026081002,4730000,4730000,0,True
JV2026081003,1353000,1353000,0,True
JV2026081004,561000,561000,0,True
JV2026081005,1969000,1969000,0,True
JV2026081006,4543000,4543000,0,True
JV2026081007,858000,858000,0,True
JV2026081008,264000,264000,0,True
JV2026081009,770000,770000,0,True
JV2026081010,660000,660000,0,True
JV2026081011,25267000,25267000,0,True
JV2026081012,11836000,11836000,0,True
JV2026081013,6094000,6094000,0,True
JV2026081014,3355000,3355000,0,True
JV2026081015,165000,165000,0,True
JV2026081017,14245000,14245000,0,True
JV2026081018,3454000,3454000,0,True
JV2026081019,1111000,1111000,0,True
JV2026081020,1573000,1573000,0,True
JV2026081021,1804000,1804000,0,True
JV2026081022,8217000,8217000,0,True
JV2026081023,5401000,5401000,0,True
JV2026081024,594000,594000,0,True
JV2026081025,4774000,4774000,0,True
JV2026081026,15081000,15081000,0,True
JV2026081027,583000,583000,0,True
JV2026081028,3586000,3586000,0,True
JV2026081029,1144000,1144000,0,True
JV2026081030,4202000,4202000,0,True
JV2026081031,671000,671000,0,True
JV2026081032,671000,671000,0,True
JV2026081033,3630000,3630000,0,True
JV2026081034,451000,451000,0,True
JV2026081035,1815000,1815000,0,True
JV2026081036,2563000,2563000,0,True
JV2026081037,1034000,1034000,0,True
JV2026081038,781000,781000,0,True
JV2026081039,8052000,8052000,0,True
JV2026081040,11099000,11099000,0,True
JV2026081041,770000,770000,0,True
JV2026081042,5203000,5203000,0,True
JV2026081043,2332000,2332000,0,True
JV2026081044,5335000,5335000,0,True
JV2026081045,2563000,2563000,0,True
JV2026081046,3509000,3509000,0,True
JV2026081047,5522000,5522000,0,True
JV2026081048,41547000,41547000,0,True
JV2026081049,19382000,19382000,0,True
JV2026081050,6523000,6523000,0,True
JV2026081051,220000,220000,0,True
JV2026081052,15917000,15917000,0,True
JV2026081053,1199000,1199000,0,True
JV2026081054,1265000,1265000,0,True
JV2026081055,8129000,8129000,0,True
JV2026081056,671000,671000,0,True
JV2026081057,7381000,7381000,0,True
JV2026081058,6072000,6072000,0,True
JV2026081059,17116000,17116000,0,True
JV2026081060,363000,363000,0,True
JV2026081061,891000,891000,0,True
JV2026081062,17050000,17050000,0,True
JV2026081064,2882000,2882000,0,True
JV2026081065,12760000,12760000,0,True
JV2026081066,6633000,6633000,0,True
JV2026081067,2497000,2497000,0,True
JV2026081068,5214000,5214000,0,True
JV2026081070,440000,440000,0,True
JV2026081071,880000,880000,0,True
JV2026081072,396000,396000,0,True
JV2026081073,18656000,18656000,0,True
JV2026081074,6369000,6369000,0,True
JV2026081075,759000,759000,0,True
JV2026081076,13497000,13497000,0,True
JV2026081078,17875000,17875000,0,True
JV2026081079,2486000,2486000,0,True
JV2026081080,396000,396000,0,True
JV2026081081,16489000,16489000,0,True
JV2026081082,4994000,4994000,0,True
JV2026081084,4620000,4620000,0,True
JV2026081085,6270000,6270000,0,True
JV2026081086,1650000,1650000,0,True
JV2026081087,1584000,1584000,0,True
JV2026081088,10791000,10791000,0,True
JV2026081089,10032000,10032000,0,True
JV2026081090,1397000,1397000,0,True
JV2026081091,5181000,5181000,0,True
JV2026081092,275000,275000,0,True
JV2026081093,21802000,21802000,0,True
JV2026081094,15191000,15191000,0,True
JV2026081096,22891000,22891000,0,True
JV2026081097,15851000,15851000,0,True
JV2026081098,1958000,1958000,0,True
JV2026081099,9680000,9680000,0,True
JV2026081100,2783000,2783000,0,True
JV2026081101,957000,957000,0,True
JV2026081102,6072000,6072000,0,True
JV2026081103,1144000,1144000,0,True
JV2026081104,1320000,1320000,0,True
JV2026081105,473000,473000,0,True
JV2026081106,5951000,5951000,0,True
JV2026081107,253000,253000,0,True
JV2026081108,5313000,5313000,0,True
JV2026081109,5269000,5269000,0,True
JV2026081110,7832000,7832000,0,True
JV2026081111,4719000,4719000,0,True
JV2026081113,1056000,1056000,0,True
JV2026081114,7711000,7711000,0,True
JV2026081115,737000,737000,0,True
JV2026081116,15532000,15532000,0,True
JV2026081118,2178000,2178000,0,True
JV2026081119,352000,352000,0,True
JV2026081120,20328000,20328000,0,True
JV2026081121,869000,869000,0,True
JV2026081122,11308000,11308000,0,True
JV2026081123,231000,231000,0,True
JV2026081124,8294000,8294000,0,True
JV2026081126,1298000,1298000,0,True
JV2026081127,1672000,1672000,0,True
JV2026081128,15015000,15015000,0,True
JV2026081129,16016000,16016000,0,True
JV2026081130,1364000,1364000,0,True
JV2026081131,6501000,6501000,0,True
JV2026081132,21736000,21736000,0,True
JV2026081133,8063000,8063000,0,True
JV2026081134,4818000,4818000,0,True
JV2026081135,2684000,2684000,0,True
JV2026081136,15323000,15323000,0,True
JV2026081138,1298000,1298000,0,True
JV2026081139,3509000,3509000,0,True
JV2026081140,5060000,5060000,0,True
JV2026081141,1551000,1551000,0,True
JV2026081142,19052000,19052000,0,True
JV2026081143,3927000,3927000,0,True
JV2026081145,3608000,3608000,0,True
JV2026081146,1606000,1606000,0,True
JV2026081147,1100000,1100000,0,True
JV2026081148,1221000,1221000,0,True
JV2026081149,13981000,13981000,0,True
JV2026081150,8525000,8525000,0,True
JV2026081151,517000,517000,0,True
JV2026081153,7227000,7227000,0,True
JV2026081154,3905000,3905000,0,True
JV2026081155,4521000,4521000,0,True
JV2026081156,15862000,15862000,0,True
JV2026081158,748000,748000,0,True
JV2026081159,4444000,4444000,0,True
JV2026081160,165000,165000,0,True
JV2026081161,29348000,29348000,0,True
JV2026081162,20768000,20768000,0,True
JV2026081163,15488000,15488000,0,True
JV2026081164,770000,770000,0,True
JV2026081165,6457000,6457000,0,True
JV2026081166,1518000,1518000,0,True
JV2026081167,34815000,34815000,0,True
JV2026081169,7700000,7700000,0,True
JV2026081170,3608000,3608000,0,True
JV2026081171,2222000,2222000,0,True
JV2026081172,4455000,4455000,0,True
JV2026081173,4477000,4477000,0,True
JV2026081174,1078000,1078000,0,True
JV2026081175,154000,154000,0,True
JV2026081176,18183000,18183000,0,True
JV2026081178,3674000,3674000,0,True
JV2026081179,3828000,3828000,0,True
JV2026081181,31757000,31757000,0,True
JV2026081182,880000,880000,0,True
JV2026081183,6215000,6215000,0,True
JV2026081184,6732000,6732000,0,True
JV2026081185,583000,583000,0,True
JV2026081186,1892000,1892000,0,True
JV2026081187,3718000,3718000,0,True
JV2026081188,737000,737000,0,True
JV2026081189,7964000,7964000,0,True
JV2026081190,2486000,2486000,0,True
JV2026081191,4147000,4147000,0,True
JV2026081192,363000,363000,0,True
JV2026081193,7942000,7942000,0,True
JV2026081194,17567000,17567000,0,True
JV2026081196,2035000,2035000,0,True
JV2026081198,1408000,1408000,0,True
JV2026081199,583000,583000,0,True
JV2026081200,2002000,2002000,0,True
JV2026081201,803000,803000,0,True
JV2026081202,3608000,3608000,0,True
JV2026081203,20955000,20955000,0,True
JV2026081204,5995000,5995000,0,True
JV2026081205,3762000,3762000,0,True
JV2026081206,4631000,4631000,0,True
JV2026081208,7403000,7403000,0,True
JV2026081210,5599000,5599000,0,True
JV2026081212,2618000,2618000,0,True
JV2026081213,21956000,21956000,0,True
JV2026081214,209000,209000,0,True
JV2026081215,21109000,21109000,0,True
JV2026081216,7139000,7139000,0,True
JV2026081217,781000,781000,0,True
JV2026081219,1375000,1375000,0,True
