voucher_id,line_no,transaction_date,transaction_type,department_code,partner_code,debit_credit_type,account_code,account_name,amount,evidence_type,evidence_no,description,remarks
JV2026081001,1,2026-08-08,산업용 소모품 구매,D005,V003,차변,5130,소모품비,700000,법인카드,CARD-202608-0001,제품 포장재 구매,포트폴리오용 합성 거래
JV2026081001,2,2026-08-08,산업용 소모품 구매,D005,V003,차변,1180,부가세대급금,70000,법인카드,CARD-202608-0001,제품 포장재 구매,포트폴리오용 합성 거래
JV2026081001,3,2026-08-08,산업용 소모품 구매,D005,V003,대변,2140,카드미지급금,770000,법인카드,CARD-202608-0001,제품 포장재 구매,포트폴리오용 합성 거래
JV2026081002,1,2026-08-23,공장 전기요금,D004,V006,차변,5150,전력비,4300000,전자세금계산서,TAX-202608-0002,공장 설비 전력 사용료,포트폴리오용 합성 거래
JV2026081002,2,2026-08-23,공장 전기요금,D004,V006,차변,1180,부가세대급금,430000,전자세금계산서,TAX-202608-0002,공장 설비 전력 사용료,포트폴리오용 합성 거래
JV2026081002,3,2026-08-23,공장 전기요금,D004,V006,대변,2120,미지급금,4730000,전자세금계산서,TAX-202608-0002,공장 설비 전력 사용료,포트폴리오용 합성 거래
JV2026081003,1,2026-08-04,운송비,D007,V005,차변,5140,운반비,1230000,전자세금계산서,TAX-202608-0003,제품 납품 운송비,포트폴리오용 합성 거래
JV2026081003,2,2026-08-04,운송비,D007,V005,차변,1180,부가세대급금,123000,전자세금계산서,TAX-202608-0003,제품 납품 운송비,포트폴리오용 합성 거래
JV2026081003,3,2026-08-04,운송비,D007,V005,대변,2120,미지급금,1353000,전자세금계산서,TAX-202608-0003,제품 납품 운송비,포트폴리오용 합성 거래
JV2026081004,1,2026-08-21,경영서비스 수수료,D001,V008,차변,5160,지급수수료,510000,전자세금계산서,TAX-202608-0004,경영관리 서비스 비용,포트폴리오용 합성 거래
JV2026081004,2,2026-08-21,경영서비스 수수료,D001,V008,차변,1180,부가세대급금,51000,전자세금계산서,TAX-202608-0004,경영관리 서비스 비용,포트폴리오용 합성 거래
JV2026081004,3,2026-08-21,경영서비스 수수료,D001,V008,대변,2120,미지급금,561000,전자세금계산서,TAX-202608-0004,경영관리 서비스 비용,포트폴리오용 합성 거래
JV2026081005,1,2026-08-06,경영서비스 수수료,D001,V008,차변,5160,지급수수료,1790000,전자세금계산서,TAX-202608-0005,경영관리 서비스 비용,포트폴리오용 합성 거래
JV2026081005,2,2026-08-06,경영서비스 수수료,D001,V008,차변,1180,부가세대급금,179000,전자세금계산서,TAX-202608-0005,경영관리 서비스 비용,포트폴리오용 합성 거래
JV2026081005,3,2026-08-06,경영서비스 수수료,D001,V008,대변,2120,미지급금,1969000,전자세금계산서,TAX-202608-0005,경영관리 서비스 비용,포트폴리오용 합성 거래
JV2026081006,1,2026-08-12,원재료 매입,D002,V001,차변,1210,원재료,4130000,전자세금계산서,TAX-202608-0006,고무 원재료 외상 매입,포트폴리오용 합성 거래
JV2026081006,2,2026-08-12,원재료 매입,D002,V001,차변,1180,부가세대급금,413000,전자세금계산서,TAX-202608-0006,고무 원재료 외상 매입,포트폴리오용 합성 거래
JV2026081006,3,2026-08-12,원재료 매입,D002,V001,대변,2110,외상매입금,4543000,전자세금계산서,TAX-202608-0006,고무 원재료 외상 매입,포트폴리오용 합성 거래
JV2026081007,1,2026-08-17,운송비,D007,V005,차변,5140,운반비,780000,전자세금계산서,TAX-202608-0007,제품 납품 운송비,포트폴리오용 합성 거래
JV2026081007,2,2026-08-17,운송비,D007,V005,차변,1180,부가세대급금,78000,전자세금계산서,TAX-202608-0007,제품 납품 운송비,포트폴리오용 합성 거래
