voucher_id,transaction_date,transaction_type,department_code,partner_code,evidence_type,evidence_no,description,debit_account_1,debit_amount_1,debit_account_2,debit_amount_2,credit_account_1,credit_amount_1,credit_account_2,credit_amount_2,supply_amount,vat_amount,total_amount,remarks,error_count,error_types,processing_status
JV2026081001,2026-08-08,산업용 소모품 구매,D005,V003,법인카드,CARD-202608-0001,제품 포장재 구매,5130,700000,1180.0,70000,2140,770000,,0,700000,70000,770000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081002,2026-08-23,공장 전기요금,D004,V006,전자세금계산서,TAX-202608-0002,공장 설비 전력 사용료,5150,4300000,1180.0,430000,2120,4730000,,0,4300000,430000,4730000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081003,2026-08-04,운송비,D007,V005,전자세금계산서,TAX-202608-0003,제품 납품 운송비,5140,1230000,1180.0,123000,2120,1353000,,0,1230000,123000,1353000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081004,2026-08-21,경영서비스 수수료,D001,V008,전자세금계산서,TAX-202608-0004,경영관리 서비스 비용,5160,510000,1180.0,51000,2120,561000,,0,510000,51000,561000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081005,2026-08-06,경영서비스 수수료,D001,V008,전자세금계산서,TAX-202608-0005,경영관리 서비스 비용,5160,1790000,1180.0,179000,2120,1969000,,0,1790000,179000,1969000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081006,2026-08-12,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0006,고무 원재료 외상 매입,1210,4130000,1180.0,413000,2110,4543000,,0,4130000,413000,4543000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081007,2026-08-17,운송비,D007,V005,전자세금계산서,TAX-202608-0007,제품 납품 운송비,5140,780000,1180.0,78000,2120,858000,,0,780000,78000,858000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081008,2026-08-16,산업용 소모품 구매,D007,V004,법인카드,TAX-202608-0008,현장 안전용품 구매,5130,240000,1180.0,24000,2110,264000,,0,240000,24000,264000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081009,2026-08-30,운송비,D007,V005,전자세금계산서,TAX-202608-0009,긴급 납품 운송비,5140,700000,1180.0,70000,2120,770000,,0,700000,70000,770000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081010,2026-08-03,산업용 소모품 구매,D007,V004,법인카드,TAX-202608-0010,생산 작업용 장갑 구매,5130,600000,1180.0,60000,2110,660000,,0,600000,60000,660000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081011,2026-08-07,생산설비 구매,D002,V007,전자세금계산서,TAX-202608-0011,생산설비 구매,1510,22970000,1180.0,2297000,2120,25267000,,0,22970000,2297000,25267000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081012,2026-08-18,제품 판매,D006,C004,전자세금계산서,TAX-202608-0012,자동차용 씰링부품 외상 판매,1130,11836000,,0,4110,10760000,2180.0,1076000,10760000,1076000,11836000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081013,2026-08-28,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0013,자동차부품용 소재 매입,1210,5540000,1180.0,554000,2110,6094000,,0,5540000,554000,6094000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081014,2026-08-03,공장 전기요금,D004,V006,전자세금계산서,TAX-202608-0014,공장 설비 전력 사용료,5150,3050000,1180.0,305000,2120,3355000,,0,3050000,305000,3355000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081015,2026-08-02,산업용 소모품 구매,D007,V004,법인카드,TAX-202608-0015,현장 안전용품 구매,5130,150000,1180.0,15000,2110,165000,,0,150000,15000,165000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081016,2026-08-29,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0016,합성고무 원재료 구매,1210,5020000,1180.0,501000,2110,5511000,,0,5010000,501000,5511000,포트폴리오용 합성 거래,1,차변·대변 불일치,검토 필요
JV2026081017,2026-08-30,제품 판매,D006,C002,전자세금계산서,TAX-202608-0017,자동차용 씰링부품 외상 판매,1130,14245000,,0,4110,12950000,2180.0,1295000,12950000,1295000,14245000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081018,2026-08-08,공장 전기요금,D004,V006,전자세금계산서,TAX-202608-0018,공장 설비 전력 사용료,5150,3140000,1180.0,314000,2120,3454000,,0,3140000,314000,3454000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081019,2026-08-08,운송비,D007,V005,전자세금계산서,TAX-202608-0019,원재료 입고 운송비,5140,1010000,1180.0,101000,2120,1111000,,0,1010000,101000,1111000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081020,2026-08-25,운송비,D007,V005,전자세금계산서,TAX-202608-0020,원재료 입고 운송비,5140,1430000,1180.0,143000,2120,1573000,,0,1430000,143000,1573000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081021,2026-08-13,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0021,자동차부품용 소재 매입,1210,1640000,1180.0,164000,2110,1804000,,0,1640000,164000,1804000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081022,2026-08-12,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0022,고무 원재료 외상 매입,1210,7470000,1180.0,747000,2110,8217000,,0,7470000,747000,8217000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081023,2026-08-17,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0023,자동차부품용 소재 매입,1210,4910000,1180.0,491000,2110,5401000,,0,4910000,491000,5401000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081024,2026-08-27,경영서비스 수수료,D001,V008,전자세금계산서,TAX-202608-0024,회계 자문 수수료,5160,540000,1180.0,54000,2120,594000,,0,540000,54000,594000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081025,2026-08-28,제품 판매,D006,C002,전자세금계산서,TAX-202608-0025,자동차용 고무부품 외상 판매,1130,4774000,,0,4110,4340000,2180.0,434000,4340000,434000,4774000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081026,2026-08-01,제품 판매,D006,C004,전자세금계산서,TAX-202608-0026,자동차용 씰링부품 외상 판매,1130,15081000,,0,4110,13710000,2180.0,1371000,13710000,1371000,15081000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081027,2026-08-03,산업용 소모품 구매,D007,V004,법인카드,TAX-202608-0027,생산 작업용 장갑 구매,5130,530000,1180.0,53000,2110,583000,,0,530000,53000,583000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081028,2026-08-01,공장 전기요금,D003,V006,전자세금계산서,TAX-202608-0028,공장 설비 전력 사용료,5150,3260000,1180.0,326000,2120,3586000,,0,3260000,326000,3586000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081029,2026-08-01,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0029,자동차부품용 소재 매입,1210,1040000,1180.0,104000,2110,1144000,,0,1040000,104000,1144000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081030,2026-08-07,공장 전기요금,D003,V006,전자세금계산서,TAX-202608-0030,생산2공장 전기요금,5150,3820000,1180.0,382000,2120,4202000,,0,3820000,382000,4202000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081031,2026-08-26,운송비,D007,V005,전자세금계산서,TAX-202608-0031,긴급 납품 운송비,5140,610000,1180.0,61000,2120,671000,,0,610000,61000,671000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081032,2026-08-07,산업용 소모품 구매,D005,V003,법인카드,CARD-202608-0032,현장 안전용품 구매,5130,610000,1180.0,61000,2140,671000,,0,610000,61000,671000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081033,2026-08-05,공장 전기요금,D004,V006,전자세금계산서,TAX-202608-0033,생산2공장 전기요금,5150,3300000,1180.0,330000,2120,3630000,,0,3300000,330000,3630000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081034,2026-08-13,산업용 소모품 구매,D003,V003,법인카드,CARD-202608-0034,현장 안전용품 구매,5130,410000,1180.0,41000,2140,451000,,0,410000,41000,451000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081035,2026-08-28,공장 전기요금,D003,V006,전자세금계산서,TAX-202608-0035,생산2공장 전기요금,5150,1650000,1180.0,165000,2120,1815000,,0,1650000,165000,1815000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081036,2026-08-21,공장 전기요금,D004,V006,전자세금계산서,TAX-202608-0036,생산1공장 전기요금,5150,2330000,1180.0,233000,2120,2563000,,0,2330000,233000,2563000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081037,2026-08-30,운송비,D007,V005,전자세금계산서,TAX-202608-0037,원재료 입고 운송비,5140,940000,1180.0,94000,2120,1034000,,0,940000,94000,1034000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081038,2026-08-07,산업용 소모품 구매,D007,V003,법인카드,CARD-202608-0038,생산 작업용 장갑 구매,5130,710000,1180.0,71000,2140,781000,,0,710000,71000,781000,포트폴리오용 합성 거래,0,없음,입력 가능
JV2026081039,2026-08-30,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0039,자동차부품용 소재 매입,1210,7320000,1180.0,732000,2110,8052000,,0,7320000,732000,8052000,포트폴리오용 합성 거래,0,없음,입력 가능
